City,Region,Country,AirQuality,WaterPollution
Berlin," """"",Germany,62.3641304347826,28.61271676300578
Paris," ""Ile-de-France""",France,34.02439024390244,43.12169312169312
Vilnius," """"",Lithuania,77.24719101123596,20.588235294117645
Brussels," """"",Belgium,35.810810810810814,44.761904761904766
Poznan," ""Greater Poland Voivodeship""",Poland,33.07692307692307,50.42372881355932
Warsaw," ""Masovian Voivodeship""",Poland,27.27272727272727,36.01485148514851
Modena," ""Emilia-Romagna""",Italy,39.0625,50.0
Tours," """"",France,84.375,6.25
Cologne," ""North Rhine-Westphalia""",Germany,60.71428571428571,27.77777777777778
Gdynia," ""Pomeranian Voivodeship""",Poland,49.41860465116279,48.61111111111111
Szczecin," ""West Pomeranian Voivodeship""",Poland,41.37931034482759,53.75
Ljubljana," ""Ljubljana City Municipality""",Slovenia,72.16494845360825,17.58241758241758
Plovdiv," ""Plovdiv region""",Bulgaria,31.41025641025641,36.29032258064516
Sofia," ""Sofia City Province""",Bulgaria,23.621323529411764,40.943396226415096
Milan," ""Lombardy""",Italy,24.397590361445783,39.490445859872615
Trieste," ""Friuli-Venezia Giulia""",Italy,58.87096774193549,29.000000000000004
Lodz," ""Lodz Voivodeship""",Poland,28.846153846153843,40.44117647058824
Villeurbanne," """"",France,75.0,50.0
Bonn," ""North Rhine-Westphalia""",Germany,82.8125,22.5
Katowice," ""Silesian Voivodeship""",Poland,27.77777777777778,48.333333333333336
Lisbon," ""Lisbon""",Portugal,64.60674157303372,24.856321839080454
Rzeszow," ""Podkarpackie Voivodeship""",Poland,37.5,47.05882352941176
Padua," ""Veneto""",Italy,29.166666666666664,50.0
Bergamo," ""Lombardy""",Italy,46.66666666666666,35.0
Venice," ""Veneto""",Italy,36.25,67.85714285714286
Rennes," """"",France,62.5,35.0
Lille," """"",France,48.91304347826087,35.526315789473685
Heilbronn," ""Baden-Wurttemberg""",Germany,80.0,0.0
Bialystok," ""Podlaskie Voivodeship""",Poland,34.523809523809526,52.94117647058824
Nowy Sacz," ""Lesser Poland Voivodeship""",Poland,30.0,100.0
Maribor," ""Maribor City Municipality""",Slovenia,76.25,18.75
Celje," ""City Municipality of Celje""",Slovenia,50.0,8.333333333333332
Koper," ""City Municipality of Koper""",Slovenia,87.5,0.0
Aachen," ""North Rhine-Westphalia""",Germany,70.45454545454545,17.857142857142854
Nova Gorica," ""City Municipality of Nova Gorica""",Slovenia,75.0,12.5
Kranj," ""City Municipality of Kranj""",Slovenia,80.55555555555556,12.5
Stuttgart," ""Baden-Wurttemberg""",Germany,43.125,24.28571428571429
Karlsruhe," ""Baden-Wurttemberg""",Germany,87.5,5.555555555555558
Hamburg," """"",Germany,70.76271186440678,24.50980392156863
Salerno," ""Campania""",Italy,60.0,58.333333333333336
Prague," """"",Czech Republic,63.21243523316063,25.70621468926554
Busto Arsizio," ""Lombardy""",Italy,0.0,75.0
Grenoble," """"",France,34.09090909090909,26.47058823529412
Dortmund," ""North Rhine-Westphalia""",Germany,75.0,15.625
Ghent," ""Flemish Region""",Belgium,55.46875,27.67857142857143
Como," ""Lombardy""",Italy,58.333333333333336,40.0
Zagreb," """"",Croatia,69.77401129943503,26.598837209302328
Genoa," ""Liguria""",Italy,51.72413793103448,30.0
Le Mans," """"",France,95.0,50.0
Bordeaux," """"",France,68.4782608695652,42.64705882352941
Barcelona," ""Catalonia""",Spain,35.49723756906077,51.31578947368421
Athens," ""Attica Region""",Greece,44.1741214057508,30.3156146179402
Osijek," ""Osijek-Baranja County""",Croatia,83.75,13.333333333333336
Rijeka," ""Primorje-Gorski Kotar County""",Croatia,75.0,17.857142857142854
Split," ""Split-Dalmatia County""",Croatia,71.71052631578947,30.0
Kiel," ""Schleswig-Holstein""",Germany,93.75,25.0
Schwerin," ""Mecklenburg-Western Pomerania""",Germany,87.5,50.0
Potsdam," ""Brandenburg""",Germany,88.63636363636364,10.714285714285715
Hanover," ""Lower Saxony""",Germany,75.0,22.916666666666668
Düsseldorf," ""North Rhine-Westphalia""",Germany,64.81481481481481,23.91304347826087
Mainz," ""Rhineland-Palatinate""",Germany,86.11111111111111,35.0
