
Countries;Year;Indicator;Source;Area;People exposed;Confidence Intervals (+/-);Upperband;Lowerband;;

EU27;2017;Lden;Road;Inside urban areas;69970700;93700;70064400;69877000;;
EU27;2017;Lden;Rail;Inside urban areas;9000900;18000;9018900;8982900;;
EU27;2017;Lden;Air;Inside urban areas;2429600;39700;2469300;2389900;;
EU27;2017;Lden;Industry;Inside urban areas;470500;2500;473000;468000;;
EU27;2017;Lden;Road;Outside urban areas;25076600;97300;25173900;24979300;;
EU27;2017;Lden;Rail;Outside urban areas;10030100;7500;10037600;10022600;;
EU27;2017;Lden;Air;Outside urban areas;969500;2900;972400;966600;;
EU27;2017;Lnight;Road;Inside urban areas;49041500;54300;49095800;48987200;;
EU27;2017;Lnight;Rail;Inside urban areas;7088800;15200;7104000;7073600;;
EU27;2017;Lnight;Air;Inside urban areas;815400;30700;846100;784700;;
EU27;2017;Lnight;Industry;Inside urban areas;230600;2200;232800;228400;;
EU27;2017;Lnight;Road;Outside urban areas;17029800;57500;17087300;16972300;;
EU27;2017;Lnight;Rail;Outside urban areas;8363500;9100;8372600;8354400;;
EU27;2017;Lnight;Air;Outside urban areas;359800;1700;361500;358100;;
EU27;2012;Lden;Road;Inside urban areas;67467800;71000;67538800;67396800;;
EU27;2012;Lden;Rail;Inside urban areas;8873300;22100;8895400;8851200;;
EU27;2012;Lden;Air;Inside urban areas;2017000;28000;2045000;1989000;;
EU27;2012;Lden;Industry;Inside urban areas;798400;4600;803000;793800;;
EU27;2012;Lden;Road;Outside urban areas;26709500;54000;26763500;26655500;;
EU27;2012;Lden;Rail;Outside urban areas;7860800;54000;7914800;7806800;;
EU27;2012;Lden;Air;Outside urban areas;932900;18600;951500;914300;;
EU27;2012;Lnight;Road;Inside urban areas;48664100;43800;48707900;48620300;;
EU27;2012;Lnight;Rail;Inside urban areas;6837900;20300;6858200;6817600;;
EU27;2012;Lnight;Air;Inside urban areas;648100;17600;665700;630500;;
EU27;2012;Lnight;Industry;Inside urban areas;322700;2000;324700;320700;;
EU27;2012;Lnight;Road;Outside urban areas;18066000;32500;18098500;18033500;;
EU27;2012;Lnight;Rail;Outside urban areas;6605600;32500;6638100;6573100;;
EU27;2012;Lnight;Air;Outside urban areas;219400;700;220100;218700;;
EU27;2007;Lden;Road;Inside urban areas;52571300;;;;;
EU27;2007;Lden;Rail;Inside urban areas;7232700;;;;;
EU27;2007;Lden;Air;Inside urban areas;1809900;;;;;
EU27;2007;Lden;Industry;Inside urban areas;437800;;;;;
EU27;2007;Lden;Road;Outside urban areas;23270200;;;;;
EU27;2007;Lden;Rail;Outside urban areas;5882000;;;;;
EU27;2007;Lden;Air;Outside urban areas;1321000;;;;;
EU27;2007;Lnight;Road;Inside urban areas;37968600;;;;;
EU27;2007;Lnight;Rail;Inside urban areas;5486300;;;;;
EU27;2007;Lnight;Air;Inside urban areas;477000;;;;;
EU27;2007;Lnight;Industry;Inside urban areas;216500;;;;;
EU27;2007;Lnight;Road;Outside urban areas;16664500;;;;;
EU27;2007;Lnight;Rail;Outside urban areas;4777100;;;;;
EU27;2007;Lnight;Air;Outside urban areas;406000;;;;;
