DATAFLOW,LAST UPDATE,freq,unit,airpol,src_nfr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,1990,150518,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,1991,118636,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,1992,101560,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,1993,91280,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,1994,88632,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,1995,87369,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,1996,87395,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,1997,85936,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,1998,90853,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,1999,91246,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2000,92931,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2001,92060,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2002,94438,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2003,94382,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2004,93051,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2005,87236,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2006,87393,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2007,88723,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2008,81264,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2009,76330,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2010,76784,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2011,77595,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2012,77133,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2013,80309,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2014,81451,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2015,86251,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2016,88098,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2017,90439,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2018,89771,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2019,89358,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2020,90596,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2021,91128,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Hungary,2022,82875,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,1990,115908,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,1991,117873,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,1992,120846,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,1993,120185,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,1994,121581,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,1995,122430,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,1996,126582,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,1997,129200,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,1998,134284,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,1999,132339,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2000,126361,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2001,125887,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2002,126273,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2003,126573,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2004,123366,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2005,125021,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2006,126340,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2007,119424,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2008,121589,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2009,122239,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2010,121075,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2011,116012,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2012,121419,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2013,122901,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2014,119153,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2015,124618,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2016,130217,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2017,134982,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2018,142251,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2019,131316,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2020,128865,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2021,130109,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Ireland,2022,128652,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,1990,529498,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,1991,538430,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,1992,529021,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,1993,536913,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,1994,522897,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,1995,514776,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,1996,507662,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,1997,522764,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,1998,519064,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,1999,525489,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2000,517149,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2001,517673,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2002,506950,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2003,505827,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2004,502258,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2005,481033,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2006,476325,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2007,475200,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2008,458150,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2009,437991,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2010,424530,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2011,422917,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2012,439532,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2013,415998,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2014,400689,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2015,402564,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2016,423413,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2017,405498,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2018,391587,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2019,387418,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2020,405469,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2021,392692,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),Italy,2022,350817,
