DATAFLOW,LAST UPDATE,freq,unit,airpol,src_nfr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1990,57554805,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1991,55735047,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1992,52592172,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1993,51065847,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1994,47601190,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1995,45956657,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1996,45535661,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1997,42829980,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1998,40005531,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1999,37512912,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2000,34608495,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2001,33204357,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2002,31447710,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2003,31083659,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2004,29925687,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2005,28705470,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2006,27838994,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2007,26860991,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2008,26328233,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2009,24306770,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2010,25445651,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2011,23229381,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2012,22650150,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2013,22443594,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2014,20253863,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2015,20355897,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2016,20053309,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2017,19799030,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2018,19584193,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2019,18593218,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2020,17067913,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2021,17888930,
