DATAFLOW,LAST UPDATE,freq,indic_env,hazard,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2004,84.4,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2005,89.6,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2006,87.7,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2007,91.7,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2008,92.9,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2009,76.7,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2010,87.1,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2011,85.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2012,80.6,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2013,80.5,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2014,80.9,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2015,78,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2016,75.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2017,74.3,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2018,75.9,
