DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AL,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AL,2009,101.2,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AL,2012,101.5,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AL,2015,102.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AL,2018,102.5,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AT,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AT,2009,100.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AT,2012,101.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AT,2015,101.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AT,2018,102.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BA,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BA,2009,100.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BA,2012,101.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BA,2015,101.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BA,2018,102.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BE,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BE,2009,100.8,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BE,2012,101.5,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BE,2015,101.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BE,2018,102.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BG,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BG,2009,101.2,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BG,2012,101.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BG,2015,102.3,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BG,2018,103.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,CH,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,CH,2009,101.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,CH,2012,102.3,
