DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2000,5.02,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2001,4.64,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2002,4.80,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2003,5.57,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2004,5.01,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2005,5.20,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2006,4.67,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2007,5.00,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2008,4.72,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2009,4.53,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2010,3.46,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2011,4.73,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2012,4.34,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2013,3.63,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2014,3.79,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2015,4.39,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2016,4.07,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2017,4.83,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2018,4.07,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2019,3.60,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2000,1.43,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2001,1.57,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2002,1.38,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2003,1.30,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2004,1.50,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2005,1.13,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2006,1.09,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2007,1.37,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2008,1.48,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2009,1.28,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2010,0.87,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2011,1.35,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2012,1.29,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2013,1.04,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2014,1.18,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2015,1.44,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2016,1.23,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2017,1.37,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2018,1.44,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Hungary,2019,1.31,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2000,0.49,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2001,0.78,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2002,0.49,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2003,0.83,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2004,0.67,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2005,0.77,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2006,0.64,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2007,0.84,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2008,0.50,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2009,0.48,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2010,0.72,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2011,0.62,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2012,0.60,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2013,0.67,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2014,0.51,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2015,0.55,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2016,0.66,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2017,0.71,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2018,0.69,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Ireland,2019,0.56,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Italy,2000,12.92,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Italy,2001,11.44,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Italy,2002,11.07,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Italy,2003,10.29,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,Annual,Percentage,Italy,2004,7.26,
