eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2000,87.5,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2001,87.5,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2002,87.7,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2003,89.7,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2004,88.7,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2005,89.2,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2006,88.6,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2007,86.2,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2008,89.2,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2009,84.7,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2010,80.6,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2011,81.3,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2012,83,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2013,85.4,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2014,85.9,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2015,87,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2016,88,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2017,87.4,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2018,88.1,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2019,88.4,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2020,88.4,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2021,88,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2022,88.9,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2023,88.8,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BE,Belgium,2000,15.4,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BE,Belgium,2001,30.8,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BE,Belgium,2002,18,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BE,Belgium,2003,15.4,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BE,Belgium,2004,25.6,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BE,Belgium,2005,17.5,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BE,Belgium,2006,22.5,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BE,Belgium,2007,50,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BE,Belgium,2008,15,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BE,Belgium,2009,73.8,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BE,Belgium,2010,26.2,
