eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2000,67.3,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2001,68.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2002,65.5,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2003,68.8,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2004,65,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2005,63.6,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2006,64.2,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2007,63,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2008,73.8,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2009,71.2,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2010,60.3,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2011,70.3,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2012,71.5,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2013,76.5,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2014,78.4,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2015,81,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2016,82,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2017,82.2,
