eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2000,12370,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2001,12529,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2002,12781,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2003,12886,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2004,13182,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2005,13586,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2006,13776,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2007,14015,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2008,13966,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2009,14889,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2010,14825,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2011,14807,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2012,14761,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2013,14718,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2014,14115,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2015,14150,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2016,14181,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2017,14293,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2018,14381,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2019,14404,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2020,14361,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2021,14471,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2022,14519,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2023,14585,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,BE,Belgium,2000,39,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,BE,Belgium,2001,39,
